MedID,Nome Comercial,Subs,FF,Dosage,TAIM,NewFilename,timestamp,filenameclean
50625,Atorvastatina Tolife MG,Atorvastatina,Comprimido revestido por película,10 mg,"Towa Pharmaceutical, S.A.",Atorvastatina_Tolife_MG10_mg,20240307224948,Atorvastatina_Tolife_MGComprimido_revestido_por_película10_mg
656646,Atorvastatina + Ezetimiba Sandoz,Atorvastatina + Ezetimiba,Comprimido revestido por película,20 mg + 10 mg,"Sandoz Farmacêutica, Lda.",Atorvastatina_+_Ezetimiba_Sandoz20_mg_+_10_mg,20240307224950,Atorvastatina_+_Ezetimiba_SandozComprimido_revestido_por_película20_mg_+_10_mg
703484,Triveram IP,Atorvastatina + Perindopril + Amlodipina,Comprimido revestido por película,20 mg + 5 mg + 5 mg,"Agon Pharma, Lda.",Triveram_IP20_mg_+_5_mg_+_5_mg,20240307224956,Triveram_IPComprimido_revestido_por_película20_mg_+_5_mg_+_5_mg
693,Atropina Braun,Atropina,Solução injetável,0.5 mg/1 ml,"B. Braun Medical, Unipessoal Lda.",Atropina_Braun0.5_mg_1_ml,20240307224957,Atropina_BraunSolução_injetável0_5_mg_1_ml
47650,Scintimun,Besilesomab,Conjunto para preparações radiofarmacêuticas,1 mg,Cis Bio International,Scintimun1_mg,20240307225035,ScintimunConjunto_para_preparações_radiofarmacêuticas1_mg
3702,Fucicort,Betametasona + Ácido fusídico,Creme,1 mg/g + 20 mg/g,Leo Pharma A/S,Fucicort1_mg_g_+_20_mg_g,20240307225036,FucicortCreme1_mg_g_+_20_mg_g
10297,Spasmomen,Brometo de otilónio,Comprimido revestido por película,40 mg,"A. Menarini Portugal - Farmacêutica, S.A.",Spasmomen40_mg,20240307225243,SpasmomenComprimido_revestido_por_película40_mg
1211,"Bromocriptina Generis 2,5 mg Comprimidos MG",Bromocriptina,Comprimido,2.5 mg,"Generis Farmacêutica, S.A.","Bromocriptina_Generis_2,5_mg_Comprimidos_MG2.5_mg",20240307225308,Bromocriptina_Generis_2_5_mg_Comprimidos_MGComprimido2_5_mg
41051,Suboxone,Buprenorfina + Naloxona,Comprimido sublingual,2 mg + 0.5 mg,Indivior Europe Limited,Suboxone2_mg_+_0.5_mg,20240307225350,SuboxoneComprimido_sublingual2_mg_+_0_5_mg
48559,Ilaris,Canacinumab,Pó para solução injetável,150 mg,Novartis Europharm Limited,Ilaris150_mg,20240307225410,IlarisPó_para_solução_injetável150_mg
31146,Captopril Generis 25 mg Comprimidos MG,Captopril,Comprimido,25 mg,"Generis Farmacêutica, S.A.",Captopril_Generis_25_mg_Comprimidos_MG25_mg,20240307225434,Captopril_Generis_25_mg_Comprimidos_MGComprimido25_mg
7143,Profenid,Cetoprofeno,Solução injetável,100 mg/2 ml,"Sanofi - Produtos Farmacêuticos, Lda.",Profenid100_mg_2_ml,20240307225459,ProfenidSolução_injetável100_mg_2_ml
47626,Cilazapril + Hidroclorotiazida Generis MG,Cilazapril + Hidroclorotiazida,Comprimido revestido por película,5 mg + 12.5 mg,"Generis Farmacêutica, S.A.",Cilazapril_+_Hidroclorotiazida_Generis_MG5_mg_+_12.5_mg,20240307225507,Cilazapril_+_Hidroclorotiazida_Generis_MGComprimido_revestido_por_película5_mg_+_12_5_mg
571343,Clotrimazol Bluepharma MG,Clotrimazol,Creme vaginal,10 mg/g,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Clotrimazol_Bluepharma_MG10_mg_g,20240307225631,Clotrimazol_Bluepharma_MGCreme_vaginal10_mg_g
638183,Dasatinib Zentiva MG,Dasatinib,Comprimido revestido por película,80 mg,"Zentiva Portugal, Lda.",Dasatinib_Zentiva_MG80_mg,20240307225709,Dasatinib_Zentiva_MGComprimido_revestido_por_película80_mg
42585,Diclofenac Reuloran MG,Diclofenac,Gel,10 mg/g,"Towa Pharmaceutical, S.A.",Diclofenac_Reuloran_MG10_mg_g,20240308084242,Diclofenac_Reuloran_MGGel10_mg_g
44320,Donepezilo Mylan MG,Donepezilo,Comprimido revestido por película,10 mg,"Mylan, Lda.",Donepezilo_Mylan_MG10_mg,20240308084327,Donepezilo_Mylan_MGComprimido_revestido_por_película10_mg
55120,Donepezilo toLife MG,Donepezilo,Comprimido orodispersível,5 mg,"Towa Pharmaceutical, S.A.",Donepezilo_toLife_MG5_mg,20240308084328,Donepezilo_toLife_MGComprimido_orodispersível5_mg
46389,Dorzolamida Mylan MG,Dorzolamida,"Colírio, solução",20 mg/ml,"Mylan, Lda.",Dorzolamida_Mylan_MG20_mg_ml,20240308084334,Dorzolamida_Mylan_MGColírio__solução20_mg_ml
588670,Duloxetina toLife MG,Duloxetina,Cápsula gastrorresistente,60 mg,"Towa Pharmaceutical, S.A.",Duloxetina_toLife_MG60_mg,20240308084409,Duloxetina_toLife_MGCápsula_gastrorresistente60_mg
48970,Esomeprazol Krka MG,Esomeprazol,Cápsula gastrorresistente,40 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Esomeprazol_Krka_MG40_mg.pdf,20240308145339,Esomeprazol_Krka_MGCápsula_gastrorresistente40_mg
49934,Esomeprazol Ratiopharm MG,Esomeprazol,Cápsula gastrorresistente,40 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Esomeprazol_Ratiopharm_MG40_mg.pdf,20240308145339,Esomeprazol_Ratiopharm_MGCápsula_gastrorresistente40_mg
607723,Everolímus Teva MG,Everolímus,Comprimido,5 mg,Teva B.V.,Everolímus_Teva_MG5_mg.pdf,20240308145416,Everolímus_Teva_MGComprimido5_mg
629362,Febuxostate toLife MG,Febuxostate,Comprimido revestido por película,80 mg,"Towa Pharmaceutical, S.A.",Febuxostate_toLife_MG80_mg.pdf,20240308145425,Febuxostate_toLife_MGComprimido_revestido_por_película80_mg
591363,Fluconazol Aurovitas MG,Fluconazol,Cápsula,150 mg,"Generis Farmacêutica, S.A.",Fluconazol_Aurovitas_MG150_mg.pdf,20240308145453,Fluconazol_Aurovitas_MGCápsula150_mg
591361,Fluconazol Aurovitas MG,Fluconazol,Cápsula,50 mg,"Generis Farmacêutica, S.A.",Fluconazol_Aurovitas_MG50_mg.pdf,20240308145453,Fluconazol_Aurovitas_MGCápsula50_mg
44707,Gabapentina Aurobindo MG,Gabapentina,Cápsula,300 mg,"Generis Farmacêutica, S.A.",Gabapentina_Aurobindo_MG300_mg.pdf,20240308165420,Gabapentina_Aurobindo_MGCápsula300_mg
638726,BAQSIMI,Glucagom,Pó nasal,3 mg,"Eli Lilly Nederland, B.V.",baqsimi-epar-product-information_pt.pdf,20240308165445,BAQSIMIPó_nasal3_mg
654824,Lacosamida Aristo MG,Lacosamida,Comprimido revestido por película,50 mg,Aristo Pharma GmbH,Lacosamida_Aristo_MG50_mg.pdf,20240308165844,Lacosamida_Aristo_MGComprimido_revestido_por_película50_mg
643505,Myrelez MG,Lanreotida,Solução injetável em seringa pré-cheia,120 mg,Amdipharm Ltd,Myrelez_MG120_mg.pdf,20240308165855,Myrelez_MGSolução_injetável_em_seringa_pré_cheia120_mg
53354,Levetiracetam Alter MG,Levetiracetam,Comprimido revestido por película,1000 mg,"Alter, S.A.",Levetiracetam_Alter_MG1000_mg.pdf,20240308170110,Levetiracetam_Alter_MGComprimido_revestido_por_película1000_mg
652205,Levetiracetam toLife MG,Levetiracetam,Comprimido revestido por película,500 mg,"Towa Pharmaceutical, S.A.",Levetiracetam_toLife_MG500_mg.pdf,20240308170137,Levetiracetam_toLife_MGComprimido_revestido_por_película500_mg
662944,Tussilib MG,Levodropropizina,Solução oral,6 mg/ml,Teva B.V.,Tussilib_MG6_mg_ml.pdf,20240308170142,Tussilib_MGSolução_oral6_mg_ml
44200,Levofloxacina Generis MG,Levofloxacina,Comprimido revestido por película,500 mg,"Generis Farmacêutica, S.A.",Levofloxacina_Generis_MG500_mg.pdf,20240308170143,Levofloxacina_Generis_MGComprimido_revestido_por_película500_mg
55532,Cumbran MG,Levonorgestrel,Comprimido,1.5 mg,Aristo Pharma GmbH,Cumbran_MG1.5_mg.pdf,20240308170149,Cumbran_MGComprimido1_5_mg
41822,Losartan + Hidroclorotiazida toLife MG,Losartan + Hidroclorotiazida,Comprimido revestido por película,50 mg + 12.5 mg,"Towa Pharmaceutical, S.A.",Losartan_+_Hidroclorotiazida_toLife_MG50_mg_+_12.5_mg.pdf,20240308170245,Losartan_+_Hidroclorotiazida_toLife_MGComprimido_revestido_por_película50_mg_+_12_5_mg
47590,Zomarist,Metformina + Vildagliptina,Comprimido revestido por película,1000 mg + 50 mg,Novartis Europharm Limited,zomarist-epar-product-information_pt.pdf,20240308170355,ZomaristComprimido_revestido_por_película1000_mg_+_50_mg
47591,Zomarist,Metformina + Vildagliptina,Comprimido revestido por película,850 mg + 50 mg,Novartis Europharm Limited,zomarist-epar-product-information_pt.pdf,20240308170355,ZomaristComprimido_revestido_por_película850_mg_+_50_mg
575921,Metilfenidato Farmoz MG,Metilfenidato,Comprimido de libertação prolongada,36 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Metilfenidato_Farmoz_MG36_mg.pdf,20240308170413,Metilfenidato_Farmoz_MGComprimido_de_libertação_prolongada36_mg
575922,Metilfenidato Farmoz MG,Metilfenidato,Comprimido de libertação prolongada,54 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Metilfenidato_Farmoz_MG54_mg.pdf,20240308170413,Metilfenidato_Farmoz_MGComprimido_de_libertação_prolongada54_mg
36076,Rubifen,Metilfenidato,Comprimido,5 mg,"Laboratorios Rubió, S.A.",Rubifen5_mg.pdf,20240308170420,RubifenComprimido5_mg
645644,Micafungina Hikma MG,Micafungina,Pó para concentrado para solução para perfusão,50 mg,"Hikma Farmacêutica (Portugal), S.A.",Micafungina_Hikma_MG50_mg.pdf,20240308170426,Micafungina_Hikma_MGPó_para_concentrado_para_solução_para_perfusão50_mg
43119,Olanzapina Krka MG,Olanzapina,Comprimido,10 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Olanzapina_Krka_MG10_mg.pdf,20240308170751,Olanzapina_Krka_MGComprimido10_mg
43117,Olanzapina Krka MG,Olanzapina,Comprimido,5 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Olanzapina_Krka_MG5_mg.pdf,20240308170751,Olanzapina_Krka_MGComprimido5_mg
43810,Olanzapina toLife MG,Olanzapina,Comprimido orodispersível,10 mg,"Towa Pharmaceutical, S.A.",Olanzapina_toLife_MG10_mg.pdf,20240308170830,Olanzapina_toLife_MGComprimido_orodispersível10_mg
43007,Olanzapina toLife MG,Olanzapina,Comprimido revestido por película,5 mg,"Towa Pharmaceutical, S.A.",Olanzapina_toLife_MG5_mg.pdf,20240308170830,Olanzapina_toLife_MGComprimido_revestido_por_película5_mg
597862,Olmesartan medoxomilo Krka MG,Olmesartan medoxomilo,Comprimido revestido por película,10 mg,"KRKA d.d., Novo mesto",Olmesartan_medoxomilo_Krka_MG10_mg.pdf,20240308170833,Olmesartan_medoxomilo_Krka_MGComprimido_revestido_por_película10_mg
597884,Olmesartan medoxomilo + Hidroclorotiazida Krka MG,Olmesartan medoxomilo + Hidroclorotiazida,Comprimido revestido por película,40 mg + 12.5 mg,"KRKA d.d., Novo mesto",Olmesartan_medoxomilo_+_Hidroclorotiazida_Krka_MG40_mg_+_12.5_mg.pdf,20240308170910,Olmesartan_medoxomilo_+_Hidroclorotiazida_Krka_MGComprimido_revestido_por_película40_mg_+_12_5_mg
607507,Olmesartan medoxomilo + Hidroclorotiazida toLife MG,Olmesartan medoxomilo + Hidroclorotiazida,Comprimido revestido por película,20 mg + 12.5 mg,"Towa Pharmaceutical, S.A.",Olmesartan_medoxomilo_+_Hidroclorotiazida_toLife_MG20_mg_+_12.5_mg.pdf,20240308170911,Olmesartan_medoxomilo_+_Hidroclorotiazida_toLife_MGComprimido_revestido_por_película20_mg_+_12_5_mg
29107,Kreon 25000,Pancreatina,Cápsula gastrorresistente,300 mg,"BGP Products, Unipessoal Lda.",Kreon_25000300_mg.pdf,20240308171259,Kreon_25000Cápsula_gastrorresistente300_mg
45734,Paracetamol Generis,Paracetamol,Pó efervescente,1000 mg,"Generis Farmacêutica, S.A.",Paracetamol_Generis1000_mg.pdf,20240308171312,Paracetamol_GenerisPó_efervescente1000_mg
50306,Paracetamol Sandoz MG,Paracetamol,Comprimido,1000 mg,"Sandoz Farmacêutica, Lda.",Paracetamol_Sandoz_MG1000_mg.pdf,20240308171313,Paracetamol_Sandoz_MGComprimido1000_mg
661204,Perindopril + Indapamida TAD MG,Perindopril + Indapamida,Comprimido,5 mg + 1.25 mg,TAD pharma GmbH,Perindopril_+_Indapamida_TAD_MG5_mg_+_1.25_mg.pdf,20240308171357,Perindopril_+_Indapamida_TAD_MGComprimido5_mg_+_1_25_mg
41989,Pravastatina toLife MG,Pravastatina,Comprimido,10 mg,"Towa Pharmaceutical, S.A.",Pravastatina_toLife_MG10_mg.pdf,20240308171457,Pravastatina_toLife_MGComprimido10_mg
4973,Lepicortinolo,Prednisolona,Pó e solvente para solução injetável,25 mg/1 ml,"Angelini Pharma Portugal, Unipessoal Lda",Lepicortinolo25_mg_1_ml.pdf,20240308171457,LepicortinoloPó_e_solvente_para_solução_injetável25_mg_1_ml
587109,Pregabalina Tolife MG,Pregabalina,Cápsula,25 mg,"Towa Pharmaceutical, S.A.",Pregabalina_Tolife_MG25_mg.pdf,20240308171601,Pregabalina_Tolife_MGCápsula25_mg
51582,Quetiapina Aristo MG,Quetiapina,Comprimido revestido por película,25 mg,Aristo Pharma GmbH,Quetiapina_Aristo_MG25_mg.pdf,20240308171702,Quetiapina_Aristo_MGComprimido_revestido_por_película25_mg
36989,Azilect,Rasagilina,Comprimido,1 mg,Teva B.V.,azilect-epar-product-information_pt.pdf,20240308171748,AzilectComprimido1_mg
38126,Risperidona toLife 2 mg Comprimidos MG,Risperidona,Comprimido revestido por película,2 mg,"Towa Pharmaceutical, S.A.",Risperidona_toLife_2_mg_Comprimidos_MG2_mg.pdf,20240308171815,Risperidona_toLife_2_mg_Comprimidos_MGComprimido_revestido_por_película2_mg
38308,Vytorin,Sinvastatina + Ezetimiba,Comprimido,10 mg + 10 mg,"Organon Portugal, Sociedade Unipessoal, Lda.",Vytorin10_mg_+_10_mg.pdf,20240308172052,VytorinComprimido10_mg_+_10_mg
634982,Sitagliptina Farmoz MG,Sitagliptina,Comprimido revestido por película,25 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sitagliptina_Farmoz_MG25_mg.pdf,20240308172100,Sitagliptina_Farmoz_MGComprimido_revestido_por_película25_mg
622263,Tadalafil Bluepharma MG,Tadalafil,Comprimido revestido por película,20 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Tadalafil_Bluepharma_MG20_mg,20240308172215,Tadalafil_Bluepharma_MGComprimido_revestido_por_película20_mg
646564,Tansulosina Generis MG,Tansulosina,Comprimido de libertação prolongada,0.4 mg,"Generis Farmacêutica, S.A.",Tansulosina_Generis_MG0.4_mg.pdf,20240308172348,Tansulosina_Generis_MGComprimido_de_libertação_prolongada0_4_mg
50252,Tansulosina Krka MG,Tansulosina,Comprimido de libertação prolongada,0.4 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Tansulosina_Krka_MG0.4_mg.pdf,20240308172348,Tansulosina_Krka_MGComprimido_de_libertação_prolongada0_4_mg
4885,Lamisil,Terbinafina,Creme,10 mg/g,Karo Healthcare AB,Lamisil10_mg_g.pdf,20240308172525,LamisilCreme10_mg_g
45108,Trazodona Ratiopharm MG,Trazodona,Comprimido,100 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Trazodona_Ratiopharm_MG100_mg,20240308172856,Trazodona_Ratiopharm_MGComprimido100_mg
43367,Rovalcyte,Valganciclovir,Pó para solução oral,50 mg/ml,Cheplapharm Arzneimittel GmbH,Rovalcyte50_mg_ml,20240308173023,RovalcytePó_para_solução_oral50_mg_ml
47091,Valsartan Teva MG,Valsartan,Comprimido revestido por película,160 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Valsartan_Teva_MG160_mg.pdf,20240308173036,Valsartan_Teva_MGComprimido_revestido_por_película160_mg
41409,Venlafaxina Krka MG,Venlafaxina,Cápsula de libertação prolongada,150 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Venlafaxina_Krka_MG150_mg.pdf,20240308173110,Venlafaxina_Krka_MGCápsula_de_libertação_prolongada150_mg
39849,Venlafaxina Mepha MG,Venlafaxina,Cápsula de libertação prolongada,75 mg,"Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.",Venlafaxina_Mepha_MG75_mg.pdf,20240308173111,Venlafaxina_Mepha_MGCápsula_de_libertação_prolongada75_mg
45284,Venlafaxina Teva MG,Venlafaxina,Cápsula de libertação prolongada,75 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Venlafaxina_Teva_MG75_mg.pdf,20240308173117,Venlafaxina_Teva_MGCápsula_de_libertação_prolongada75_mg
55818,Voriconazol Teva MG,Voriconazol,Comprimido revestido por película,200 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Voriconazol_Teva_MG200_mg.pdf,20240308173133,Voriconazol_Teva_MGComprimido_revestido_por_película200_mg
41840,Aceclofenac Ratiopharm MG,Aceclofenac,Comprimido revestido por película,100 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Aceclofenac_Ratiopharm_MG100_mg.433.pdf,20240320195834,Aceclofenac_Ratiopharm_MGComprimido_revestido_por_película100_mg
649324,Ruxaclam MG,Amoxicilina + Ácido clavulânico,Pó para suspensão oral,400 mg/5 ml + 57 mg/5 ml,Centrient Pharmaceuticals Netherlands B.V.,Ruxaclam_MG400_mg_5_ml_+_57_mg_5_ml.pdf,20240320200526,Ruxaclam_MGPó_para_suspensão_oral400_mg_5_ml_+_57_mg_5_ml
648985,Cisplatina Hikma MG,Cisplatina,Concentrado para solução para perfusão,1 mg/ml,"Hikma Farmacêutica (Portugal), S.A.",Cisplatina_Hikma_MG1_mg_ml.pdf,20240320202527,Cisplatina_Hikma_MGConcentrado_para_solução_para_perfusão1_mg_ml
46772,Deflazacorte Ratiopharm MG,Deflazacorte,Comprimido,30 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Deflazacorte_Ratiopharm_MG30_mg.pdf,20240320203340,Deflazacorte_Ratiopharm_MGComprimido30_mg
46305,Fentanilo Aurovitas MG,Fentanilo,Sistema transdérmico,100 µg/h,"Generis Farmacêutica, S.A.",Fentanilo_Aurovitas_MG100_µg_h.pdf,20240320205401,Fentanilo_Aurovitas_MGSistema_transdérmico100_µg_h
49655,Meropenem Enexi MG,Meropenem,Pó para solução injetável ou para perfusão,1000 mg,Thrive Pharma Limited,Meropenem_Enexi_MG1000_mg.pdf,20240320213009,Meropenem_Enexi_MGPó_para_solução_injetável_ou_para_perfusão1000_mg
656665,Metformina + Sitagliptina ratiopharm MG,Metformina + Sitagliptina,Comprimido revestido por película,1000 mg + 50 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Metformina_+_Sitagliptina_ratiopharm_MG1000_mg_+_50_mg.pdf,20240320213202,Metformina_+_Sitagliptina_ratiopharm_MGComprimido_revestido_por_película1000_mg_+_50_mg
637722,Nebivolol Krka MG,Nebivolol,Comprimido,5 mg,"KRKA d.d., Novo mesto",Nebivolol_Krka_MG5_mg.pdf,20240320213909,Nebivolol_Krka_MGComprimido5_mg
52533,Olanzapina Aurobindo MG,Olanzapina,Comprimido,5 mg,"Generis Farmacêutica, S.A.",Olanzapina_Aurobindo_MG5_mg.pdf,20240320214316,Olanzapina_Aurobindo_MGComprimido5_mg
658710,Perindopril TAD MG,Perindopril,Comprimido,10 mg,TAD pharma GmbH,Perindopril_TAD_MG10_mg.pdf,20240320215422,Perindopril_TAD_MGComprimido10_mg
6138,Nix,Permetrina,Creme,10 mg/g,"Perrigo Portugal, Lda.",Nix10_mg_g.pdf,20240320221620,NixCreme10_mg_g
52414,Pioglitazona Sandoz MG,Pioglitazona,Comprimido,15 mg,"Sandoz Farmacêutica, Lda.",Pioglitazona_Sandoz_MG15_mg.pdf,20240320221700,Pioglitazona_Sandoz_MGComprimido15_mg
47378,Mozobil,Plerixafor,Solução injetável,20 mg/ml,Sanofi B.V.,Mozobil20_mg_ml,20240320221756,MozobilSolução_injetável20_mg_ml
609524,Rosuvastatina Farmoz MG,Rosuvastatina,Comprimido revestido por película,20 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Rosuvastatina_Farmoz_MG20_mg.pdf,20240320223230,Rosuvastatina_Farmoz_MGComprimido_revestido_por_película20_mg
56678,Telmisartan Generis Phar MG,Telmisartan,Comprimido,80 mg,"Generis Phar, Unipessoal Lda.",Telmisartan_Generis_Phar_MG80_mg.pdf,20240320224907,Telmisartan_Generis_Phar_MGComprimido80_mg
5142,Livial,Tibolona,Comprimido,2.5 mg,"Organon Portugal, Sociedade Unipessoal, Lda.",Livial2.5_mg.pdf,20240320225217,LivialComprimido2_5_mg
39301,Ácido Alendrónico Generis 70 mg Comprimidos MG,Ácido alendrónico,Comprimido,70 mg,"Generis Farmacêutica, S.A.",Ácido_Alendrónico_Generis_70_mg_Comprimidos_MG70_mg,20240322203419,Ácido_Alendrónico_Generis_70_mg_Comprimidos_MGComprimido70_mg
30991,Mobilat,Ácido salicílico + Heparinóide,Creme,2 mg/g + 20 mg/g,"Ciclum Farma Unipessoal, Lda.",Mobilat2_mg_g_+_20_mg_g,20240322205547,MobilatCreme2_mg_g_+_20_mg_g
619766,Naproxeno Generis MG,Naproxeno,Comprimido,250 mg,"Generis Farmacêutica, S.A.",Naproxeno_Generis_MG250_mg.pdf,20240322212715,Naproxeno_Generis_MGComprimido250_mg
653264,Bilastina Zentiva MG,Bilastina,Comprimido,20 mg,"Zentiva Portugal, Lda.",Bilastina_Zentiva_MGComprimido20_mg.pdf,20240324123700,Bilastina_Zentiva_MGComprimido20_mg
51760,Fentanilo Zentiva MG,Fentanilo,Adesivo transdérmico,25 µg/h,"Zentiva Portugal, Lda.",Fentanilo_Zentiva_MGAdesivo_transdérmico25_µg_h.pdf,20240324124909,Fentanilo_Zentiva_MGAdesivo_transdérmico25_µg_h
585181,Levodopa + Carbidopa Fair-Med MG,Levodopa + Carbidopa,Comprimido,100 mg + 25 mg,Fair-Med Healthcare GmbH,Levodopa_+_Carbidopa_Fair_Med_MGComprimido100_mg_+_25_mg.pdf,20240324155437,Levodopa_+_Carbidopa_Fair_Med_MGComprimido100_mg_+_25_mg
611082,Nebivolol Aurovitas MG,Nebivolol,Comprimido,5 mg,"Generis Farmacêutica, S.A.",Nebivolol_Aurovitas_MGComprimido5_mg.pdf,20240324155946,Nebivolol_Aurovitas_MGComprimido5_mg
636382,Abacavir Generis MG,Abacavir,Comprimido revestido por película,300 mg,"Generis Farmacêutica, S.A.",Abacavir_Generis_MGComprimido_revestido_por_película300_mg.pdf,20240325171808,Abacavir_Generis_MGComprimido_revestido_por_película300_mg
613242,Abacavir Mylan MG,Abacavir,Comprimido revestido por película,300 mg,"Mylan, Lda.",Abacavir_Mylan_MGComprimido_revestido_por_película300_mg.pdf,20240325171808,Abacavir_Mylan_MGComprimido_revestido_por_película300_mg
15254,Ziagen,Abacavir,Comprimido revestido por película,300 mg,ViiV Healthcare BV,ZiagenComprimido_revestido_por_película300_mg,20240325171808,ZiagenComprimido_revestido_por_película300_mg
15253,Ziagen,Abacavir,Solução oral,20 mg/ml,ViiV Healthcare BV,ZiagenSolução_oral20_mg_ml.pdf,20240325171814,ZiagenSolução_oral20_mg_ml
600882,Abacavir + Lamivudina Aurovitas MG,Abacavir + Lamivudina,Comprimido revestido por película,600 mg + 300 mg,"Generis Farmacêutica, S.A.",Abacavir_+_Lamivudina_Aurovitas_MGComprimido_revestido_por_película600_mg_+_300_mg.pdf,20240325171814,Abacavir_+_Lamivudina_Aurovitas_MGComprimido_revestido_por_película600_mg_+_300_mg
605063,Abacavir + Lamivudina Mylan MG,Abacavir + Lamivudina,Comprimido revestido por película,600 mg + 300 mg,"Mylan, Lda.",Abacavir_+_Lamivudina_Mylan_MGComprimido_revestido_por_película600_mg_+_300_mg.pdf,20240325171815,Abacavir_+_Lamivudina_Mylan_MGComprimido_revestido_por_película600_mg_+_300_mg
37797,Kivexa,Abacavir + Lamivudina,Comprimido revestido por película,600 mg + 300 mg,ViiV Healthcare BV,KivexaComprimido_revestido_por_película600_mg_+_300_mg.pdf,20240325171815,KivexaComprimido_revestido_por_película600_mg_+_300_mg
